date,japan,hokkaido,aomori,iwate,miyagi,akita,yamagata,fukushima,ibaraki,tochigi,gunma,saitama,chiba,tokyo,kanagawa,niigata,toyama,ishikawa,fukui,yamanashi,nagano,gifu,shizuoka,aichi,mie,shiga,kyoto,osaka,hyogo,nara,wakayama,tottori,shimane,okayama,hiroshima,yamaguchi,tokushima,kagawa,ehime,kochi,fukuoka,saga,nagasaki,kumamoto,oita,miyazaki,kagoshima,okinawa
2020/7/24,26,108,128,111,65,199,140,100,67,84,54,23,56,-3,42,93,42,62,85,125,63,33,60,12,33,77,16,-12,5,22,69,63,56,2,-35,-17,5,10,3,-1,-7,0,-8,-27,-25,-29,-31,11
2020/7/25,-19,90,73,30,-9,104,40,20,-24,-12,-20,-46,-26,-45,-29,15,6,21,24,0,-12,-44,-25,-37,-40,-23,-34,-47,-29,-44,-16,53,45,16,3,5,-11,9,19,1,0,-6,-5,-12,6,3,0,-23
2020/7/26,-21,66,26,26,-7,70,25,7,-12,-21,-25,-35,-6,-31,-20,6,12,6,12,-15,-22,-47,-42,-40,-45,-21,-36,-43,-32,-40,-24,15,34,-18,-31,-9,-16,-14,-7,-35,-14,-26,-14,-14,-20,-39,-25,-29
2020/7/27,-14,20,5,4,-8,29,5,-1,-11,-9,-13,-21,-3,-21,-8,1,1,0,17,-8,-9,-33,-22,-18,-27,-9,-21,-20,-10,-22,-10,1,8,-5,-20,-21,-20,-9,7,-21,-28,-33,-27,-25,-27,-25,-14,-34
2020/7/28,-8,31,25,-6,-28,18,-10,-22,-20,-13,-3,-16,-4,-24,-16,-13,-10,-10,7,1,-3,-21,-9,0,-11,8,-13,-12,3,-8,9,9,10,10,2,-2,3,0,15,-1,-10,-19,-20,-8,-21,-17,-6,-33
2020/7/29,-3,37,60,40,12,61,37,14,3,0,-6,-8,13,-15,-6,11,22,31,35,-1,15,-9,-10,0,-10,4,-14,-10,-4,-8,14,9,13,-8,-5,6,1,-4,8,6,3,-2,-4,0,-14,-12,-3,-29
2020/7/30,-2,33,44,34,17,51,42,13,-4,3,2,1,1,-11,-1,23,29,26,42,-1,12,-7,-12,-2,-15,6,-18,-18,-6,-16,14,19,25,-5,-1,4,-1,-8,10,6,0,-5,-4,-3,-13,-7,-3,-32
2020/7/31,-5,32,27,22,3,42,11,-3,-7,-1,4,-5,1,-18,-2,5,16,12,21,6,13,-9,-2,-2,-7,15,-10,-16,-3,-10,12,15,19,-1,-1,-6,0,-11,7,2,-6,-4,-13,-6,-17,-13,-5,-30
2020/8/1,3,63,60,43,22,90,24,31,5,-1,8,2,8,-9,4,23,33,23,60,24,26,-7,-1,-1,-8,32,-10,-12,3,-10,25,20,36,7,-2,7,6,-3,9,7,-2,-4,-8,-6,-13,-13,-1,-40
2020/8/2,9,67,76,44,22,91,38,36,19,14,10,12,22,2,11,36,30,19,42,39,25,-10,5,-1,-9,24,-12,-12,-5,8,51,20,57,0,-7,15,14,9,19,8,4,-1,2,2,-8,-18,1,-42
2020/8/3,3,38,36,31,15,63,35,26,2,16,9,-1,9,-10,6,26,28,21,39,18,24,-12,0,1,-10,17,-10,-11,5,-10,17,16,33,9,5,11,6,0,19,12,3,1,-3,-5,-16,-8,2,-40
2020/8/4,8,23,43,37,10,57,45,27,4,22,20,10,11,-8,10,34,20,26,38,38,31,4,11,5,-2,33,-5,-6,12,-4,21,30,45,23,12,18,16,8,28,22,4,0,-9,0,-14,-10,1,-34
2020/8/5,6,26,58,48,26,71,57,46,14,20,12,8,18,-8,12,40,38,37,56,34,33,-1,9,0,0,29,0,-4,8,-3,18,36,41,10,11,15,8,2,16,13,10,9,1,-1,-11,-5,2,-35
2020/8/6,4,18,36,34,19,60,51,32,1,17,15,1,8,-11,9,38,39,27,53,44,34,3,11,2,1,24,-4,-7,6,-5,20,24,37,8,15,12,6,-1,14,16,4,2,-1,2,-13,-1,3,-34
2020/8/7,1,20,49,26,16,38,23,28,6,20,18,-2,9,-15,7,17,5,-10,14,55,32,-6,13,-2,1,24,-3,-8,7,-6,19,16,19,10,2,-2,6,-3,7,12,-5,-4,-14,-4,-14,-10,3,-32
2020/8/8,0,76,63,18,-14,58,-13,20,6,6,13,-1,5,-14,-1,-7,16,1,49,55,34,-10,5,-5,-13,26,-10,-14,4,-11,33,17,13,13,-3,0,8,-1,6,20,-9,-20,-16,-7,-11,-11,0,-43
2020/8/9,10,96,32,-2,-19,8,-16,36,22,18,23,2,22,-8,7,14,37,22,54,96,55,-1,22,-3,-2,34,2,-12,2,18,93,49,85,14,0,28,27,23,28,43,9,5,7,15,8,-14,8,-66
2020/8/10,36,62,103,88,55,146,124,101,45,70,63,19,44,1,39,111,100,86,130,157,115,47,66,30,33,104,31,11,47,36,104,90,100,55,32,39,50,60,50,30,16,7,-12,11,15,-9,-8,-38
2020/8/11,20,60,75,54,23,100,77,58,18,41,54,6,20,-15,16,64,42,48,75,132,86,28,48,18,23,69,13,1,28,16,74,58,58,42,27,20,35,19,34,43,-10,-17,-11,-2,-1,-6,1,-36
2020/8/12,23,89,110,64,46,75,64,81,33,43,38,-1,28,-21,16,52,56,57,84,120,86,41,57,24,35,69,12,8,31,31,85,80,65,31,30,34,45,31,36,53,28,26,17,22,15,15,21,-25
2020/8/13,30,102,112,89,53,121,110,95,30,60,64,1,21,-21,17,86,70,57,85,140,99,51,67,24,49,82,22,7,34,37,116,96,89,54,40,61,51,41,47,67,30,30,34,36,36,25,25,-29
